"Q01","Alpha Access Qualifier"
"Q02","Alpha Access Value"
"Q03","Bravo Access Qualifier"
"Q04","Bravo Access Value"
"Q05","Party Scheme Qualifier"
"Q06","Originating Party Handle"
"Q07","Destination Party Handle"
"Q08","Envelope Stamp Time"
"Q09","Envelope Stamp Date"
"Q10","Envelope Format Level"
"Q11","Envelope Sequence Number"
"Q12","Receipt Wanted Flag"
"Q13","Traffic Mode Flag"
"Q14","Counterpart Scheme Qualifier"
"Q15","Subpart Divider Mark"
"Q16","Count of Enclosed Batches"
"Q17","Closing Sequence Echo"
"Q18","Receipt Reference Number"
"Q19","Receipt Date"
"Q20","Receipt Time"
"I65","Synthetic Repeat Marker"
"91","Batch Kind Code"
"9002","Batch Origin Handle"
"9003","Batch Destination Handle"
"9004","Batch Time"
"9005","Batch Date"
"9006","Batch Sequence Number"
"9007","Steward Code"
"9008","Grammar Edition Code"
"9009","Count of Enclosed Documents"
"9010","Document Kind Code"
"9011","Document Sequence Number"
"9012","Count of Enclosed Records"
"9013","Alpha Intent Code"
"9014","Alpha Reference Text"
"9015","Batch Closing Tally"
"9016","Document Closing Tag"
